S2 Number,Settlement,Pop,Area,latitude,longitude,UrbanSytem
1,London & Southwark,70000,330,51.5038411,-0.0947961,England
2,York,22700,135,53.9599651,-1.0872979,England
3,Bristol,14400,130,51.454513,-2.58791,England
4,Lincoln,12300,115,53.230688,-0.540579,England
5,Norwich,14000,185,52.6308859,1.297355,England
6,Newcastle-upon-Tyne,9900,90,54.978252,-1.61778,England
7,Oxford,9800,94,51.7520209,-1.2577263,England
8,Coventry,9500,85,52.406822,-1.519693,England
9,Canterbury,8800,110,51.280233,1.0789089,England
10,Salisbury,7700,83,51.068785,-1.794472,England
11,Gloucester,7200,75,51.8642449,-2.238156,England
12,Great Yarmouth,7000,80,52.598233,1.728047,England
13,Cambridge,6900,88,52.205337,0.121817,England
14,King’s Lynn,6900,95,52.7516798,0.4022963,England
15,Winchester,9500,100,51.059771,-1.310142,England
16,Scarborough,6500,60,54.283113,-0.399752,England
17,Colchester,3500,60,51.895927,0.891874,England
18,Boston,6200,40,52.97894,-0.026577,England
19,Bury St Edmunds,5800,78,52.2429228,0.7104932,England
20,Shrewsbury,5700,58,52.7073029,-2.7553268,England
21,Hereford,5500,75,52.056398,-2.715974,England
22,Leicester,5400,75,52.6368778,-1.1397592,England
23,Ipswich,5300,90,52.056736,1.14822,England
24,Stamford,4500,64,52.651282,-0.480216,England
25,Northampton,4200,90,52.240477,-0.902656,England
26,Nottingham,4200,63,52.9547832,-1.1581086,England
27,Plymouth,3800,72,50.3754565,-4.1426565,England
28,Kingston-upon-Hull,3800,35,53.7456709,-0.3367413,England
29,Exeter,3700,40,50.718412,-3.533899,England
30,Worcester,3700,40,52.193636,-2.221575,England
31,Southampton,3500,35,50.9097004,-1.4043509,England
32,Ely,3500,57,52.399539,0.262363,England
33,Chester,3300,53,53.193392,-2.893075,England
34,Ludlow,3300,41,52.367749,-2.7139129,England
35,Lichfield,2700,30,52.681602,-1.831672,England
36,Newark,2700,50,53.0765,-0.81,England
37,Durham,2600,25,54.77525,-1.584852,England
38,Bridgnorth,2400,20,52.534455,-2.424549,England
39,Pontefract,2400,40,53.691688,-1.308648,England
40,Doncaster,2300,25,53.52282,-1.128462,England
41,Paris,200000,800,48.856614,2.3522219,France & Belgium
42,Rouen,40000,224,49.443232,1.099971,France & Belgium
43,Orleans,21700,150,47.902964,1.909251,France & Belgium
44,Reims,20000,240,49.258329,4.031696,France & Belgium
45,Beauvais,15500,103,49.4295387,2.0807123,France & Belgium
46,Troyes,25000,120,48.2973451,4.0744009,France & Belgium
47,Chalons-sur-Marne,10000,100,48.956682,4.363073,France & Belgium
48,Chartres,8700,60,48.443854,1.489012,France & Belgium
49,Sens,5000,32,48.20065,3.28268,France & Belgium
50,Provins,10000,146,48.560149,3.299203,France & Belgium
51,Nancy,1000,11,48.692054,6.184417,France & Belgium
52,Ghent,60000,362,51.0543422,3.7174243,France & Belgium
53,Bruges,45000,300,44.881793,-0.612747,France & Belgium
54,Tournai,35000,175,50.6056475,3.3879338,France & Belgium
55,Ypres,30000,250,50.8492265,2.8779388,France & Belgium
56,Saint-Omer,35000,120,50.750115,2.252208,France & Belgium
57,Mons,10000,150,50.454241,3.956658,France & Belgium
58,Calais,12000,50,50.95129,1.858686,France & Belgium
59,Amiens,21000,140,49.894067,2.295753,France & Belgium
60,Arras,30000,182,50.291002,2.777535,France & Belgium
61,Lille,30000,120,50.62925,3.057256,France & Belgium
62,Liege,15000,200,50.6325574,5.5796662,France & Belgium
63,Namur,14400,75,50.4673883,4.8719854,France & Belgium
64,Mechlin,10000,105,51.0167,4.4667,France & Belgium
65,Tours,24000,175,47.394144,0.68484,France & Belgium
66,Blois,5000,32,47.5860921,1.3359475,France & Belgium
67,Bourges,16300,115,47.081012,2.398782,France & Belgium
68,Poitiers,15000,200,46.580224,0.340375,France & Belgium
69,Toulouse,33000,250.5,43.604652,1.444209,France & Belgium
70,Bordeaux,30000,197.5,44.837789,-0.57918,France & Belgium
71,Albi,10700,98,43.9250853,2.1486413,France & Belgium
72,Perigueux,8000,70,45.184029,0.7211149,France & Belgium
73,Agen,6000,60,44.203142,0.616363,France & Belgium
74,Angouleme,5000,40,45.648377,0.1562369,France & Belgium
75,Rodez,5000,35,44.349389,2.575986,France & Belgium
76,Limoges,4000,75,45.833619,1.261105,France & Belgium
